6083:8,17,17,76,81,302,564,616,650,654
14522:8,17,58,76,81,302,564,616,650,654
14524:17,70,76,81,245,302,508,564,654,1410
14536:168,661,719,984,1326,1400,2103,5480,5738,8860
14554:45,162,302,431,495,656,787,1690,3101,4414
14568:17,58,76,302,542,564,616,654,2139,2265
14576:8,17,58,76,302,542,564,616,654,698
14582:8,29,76,84,302,354,518,542,650,1102
14590:17,29,58,84,302,483,542,616,654,861
14591:17,70,76,81,226,302,508,564,616,654
14601:37415,74319,110399,17,17,17,17,17,17,17
14613:8,17,29,58,84,518,542,564,650,654
14615:17,17,17,17,17,17,17,17,17,17
14619:17,40,76,866,890,1730,2139,3568,4743,5097
14629:6,29,76,168,219,431,1102,14170,15112,16941
14639:17,76,302,361,616,654,866,2139,2848,6387
14640:17,17,17,17,17,17,17,17,17,17
14652:8,29,58,84,302,354,518,616,650,654
14676:8,29,58,76,84,518,616,650,654,1102
14681:1176,1546,6906,7627,13896,14966,16701,20836,24467,59248
14695:8,15,17,58,245,302,518,542,616,654
14697:8,17,58,70,76,302,542,564,616,654
14701:8,17,29,58,76,84,302,518,542,616
14712:17,61,84,131,226,245,616,2548,7210,8066
14717:17,58,70,76,226,262,302,616,654,780
14719:8,29,58,84,302,354,518,616,650,1102
14721:17,76,224,947,9674,13077,19528,24933,30815,51232
14737:17,58,62,238,302,486,564,616,654,1196
14752:17,17,17,17,17,17,17,17,17,17
14755:8,17,29,58,76,84,302,542,616,650
14759:8,29,58,76,84,354,616,650,654,1102
14764:219,295,518,542,654,659,1057,1119,2139,12133
14767:1069,8454,9354,12548,13335,20288,27291,33562,34145,44738
14771:17,58,70,76,226,262,302,616,654,780
14776:8,17,58,76,302,518,542,564,616,654
14784:17,76,168,238,358,901,1326,2139,5480,8860
14788:17,29,76,84,101,302,518,542,650,1102
14791:17,76,168,302,463,564,616,984,1400,5480
14793:81,262,403,780,3137,3423,5767,9790,13596,14174
14794:8,29,58,76,84,302,518,542,616,654
14822:17,32,65,262,363,518,616,654,1023,1109
14824:17,76,245,508,710,827,1410,1744,3618,4513
14862:8,17,58,84,302,518,542,616,654,873
14863:8,29,58,76,84,302,354,616,654,1102
14864:8,17,29,58,76,302,510,542,616,654
14865:8,29,58,76,84,302,518,616,650,654
14874:8,17,29,58,76,84,302,354,616,1102
14879:8,15,17,58,245,302,518,542,616,654
14881:8,17,58,76,84,226,302,508,616,654
14883:8,29,58,76,301,354,518,616,650,1102
14906:81,226,262,731,780,3137,3423,3718,5767,13544
14923:17,17,17,17,17,17,17,17,17,17
14924:17,61,76,245,564,1410,1744,2548,2715,5117
14933:17,61,157,245,508,564,840,8069,10541,14793
14934:76,463,574,661,719,1326,1400,2103,5480,8860
14960:317,542,546,564,859,1069,1730,2139,3005,3081
14964:8,58,76,84,138,354,518,616,650,1102
14967:8,17,58,84,302,564,616,650,654,736
14982:8,17,29,58,76,224,302,616,650,654
14992:70,81,140,226,508,780,986,2241,3423,7211
15002:1347,7148,27944,31723,35378,46072,52792,58754,68900,77433
15024:8,15,17,58,76,302,518,542,616,654
15025:62,84,245,518,542,716,1057,1086,1119,1382
15027:8,17,58,76,226,500,508,564,616,6491
15043:17,17,17,17,17,17,17,17,17,17
15044:8,17,29,58,76,84,302,542,616,654
15051:17,17,17,17,17,17,17,17,17,17
15066:8,17,70,84,302,508,518,616,654,1023
15068:135,168,463,574,719,1400,5480,5557,8733,8860
15073:6,15,17,29,58,302,542,616,650,654
15076:8,17,65,84,119,302,327,518,616,654
15079:15,17,29,58,61,302,518,542,616,654
15101:2406,5693,6906,25066,45123,51244,60771,83226,17,17
15104:8,17,29,58,76,302,542,616,650,654
15106:8,17,29,58,84,302,518,616,650,654
15113:6,15,17,58,302,616,650,654,861,30911
15130:17,17,17,17,17,17,17,17,17,17
15131:262,1419,1644,2275,2351,4339,5150,7667,10834,39390
15135:15,17,58,61,84,302,518,564,616,654
15166:17,58,76,302,542,564,616,654,1913,2139
15176:17,17,17,17,17,17,17,17,17,17
15177:8,29,58,84,302,518,616,650,654,1102
15178:8,29,58,76,84,302,354,616,650,654
15187:1126,1606,2140,2579,5084,5149,5395,9160,11503,12776
15189:65,76,168,311,463,542,1344,1460,3304,3484
15201:17,76,81,168,224,262,302,508,564,1326
